Genes,logFC,P.Value
2700045P11RIK,-0.892466199,0.020571641
2700046G09RIK,-1.099138995,0.025994606
2700070H01RIK,-2.197881612,0.017207704
2700081O15RIK,-1.431932726,3.29E-27
2700089E24RIK,-0.726928244,0.018005927
2700089I24RIK,3.711642679,0.000106977
2700090O03RIK,-0.509677549,0.022480507
2700097O09RIK,-0.512785099,0.021021814
2700099C18RIK,-1.7854028,2.16E-15
2810001G20RIK,-1.130292088,7.26E-07
2810001G20RIK,-0.872643926,0.024409381
2810002D19RIK,-0.503590285,0.001339786
2810002D19RIK,-0.866579433,0.00408766
2810006K23RIK,-1.579935941,1.69E-12
2810011L19RIK,-0.662398145,0.03053403
2810013P06RIK,-1.342409569,1.36E-15
2810021B07RIK,-0.652560365,0.033662838
2810032G03RIK,-1.044189906,5.20E-08
2810047C21RIK1,-0.970566632,0.000207271
2810047C21RIK1,-0.61289726,0.00044772
2810047C21RIK1,4.740139507,0.019062059
2810055G20RIK,-0.675754323,0.008990914
2810055G20RIK,-0.639928944,0.034696648
2810055G20RIK,-0.706197499,0.000369451
2810405K02RIK,-0.619294043,0.000137927
2810408B13RIK,-2.391624293,0.000102599
2810408I11RIK,3.978996277,0.001894934
2810429I04RIK,-1.182648203,0.000152285
2810432L12RIK,-0.661761744,0.022924509
2810452K22RIK,-0.566044441,0.012013025
2810459M11RIK,-1.218657865,4.64E-08
2900006A17RIK,-0.758368884,0.022979684
2900009J20RIK,-1.214375523,0.047383376
2900011G08RIK,-0.65278389,0.014585387
2900011O08RIK,-1.103021221,0.00017936
2900011O08RIK,-0.79365011,0.002966618
2900016B01RIK,-0.917326264,0.001848152
2900022M07RIK,-0.600777094,0.011596984
2900024O10RIK,-0.752156594,0.025547546
2900040C04RIK,-4.750081105,0.000700081
2900041H08RIK,-0.78631608,0.003393487
2900052L18RIK,-0.792908201,6.47E-05
2900052L18RIK,-1.238876911,4.38E-05
2900052N01RIK,-1.460230875,6.49E-28
2900055J20RIK,-1.322642559,0.000343774
2900060N12RIK,-2.290676933,8.46E-10
2900062L11RIK,-0.923205672,0.000550978
2900064A13RIK,-0.797787398,0.019770384
2900064F13RIK,-0.691427179,0.005034507
2900078E11RIK,-1.005484544,0.039626263
2900092C05RIK,2.963939683,2.27E-08
2900093K20RIK,-1.346204792,0.028491508
2900097C17RIK,-0.933316231,1.62E-05
2900097C17RIK,-0.78062085,1.83E-05
3000002C10RIK,-1.581334449,0.002913866
3010001F23RIK,-0.731894672,0.006646348
3100003L05RIK,2.232165065,0.000246483
3110005L24RIK,-0.56896648,0.002597419
3110007F17RIK,-0.652824611,0.000956904
3110007F17RIK,-0.583806286,0.001275936
3110007F17RIK,-0.619713967,0.00151513
3110009E18RIK,-0.907152139,0.006621048
3110015C05RIK,3.138544986,0.046402383
3110035E14RIK,-2.769711373,1.04E-05
3110035E14RIK,-1.747288847,0.007510226
3110039M20RIK,-0.532243802,0.001063581
3110047P20RIK,-0.98697566,0.002950255
3110047P20RIK,-0.653126049,0.000446785
3110052M02RIK,-0.574808707,0.000163619
3110053B16RIK,-0.996116027,2.10E-05
3110053B16RIK,-0.537560455,0.000160885
3110053B16RIK,-0.907470119,5.77E-09
3110057O12RIK,-0.598627235,0.004530805
3110062M04RIK,-0.878306724,0.001598192
3110073H01RIK,-0.598722454,0.005081161
3110080O07RIK,-0.533050737,0.001697148
3110082D06RIK,-0.809909114,0.00134984
3110082J24RIK,-2.28012686,0.006737704
3110083C13RIK,-1.371263514,0.040454149
3300002I08RIK,-0.574150781,1.85E-05
3300002P13RIK,-1.875486709,4.03E-19
3632451O06RIK,-1.723810334,4.85E-06
3632451O06RIK,-1.209520094,0.000114831
3632451O06RIK,-1.24669752,0.033784424
3830406C13RIK,-0.741625534,0.000426957
3830406C13RIK,-0.709313469,9.07E-08
3830408C21RIK,-1.314294725,0.004353795
3830431G21RIK,-0.913399837,0.017972011
4631426J05RIK,-0.62888322,0.00420005
4631426J05RIK,-0.511327838,0.003165577
4632404H12RIK,-1.098805475,1.17E-09
4632415L05RIK,-0.617987894,1.70E-05
4632427E13RIK,-0.572678344,0.019127757
4732444A12RIK,-0.600857651,2.99E-06
4732465J04RIK,2.917379014,0.049032269
4732471D19RIK,-0.506043296,0.001019726
4732490B19RIK,5.530092965,0.00201092
4831440E17RIK,-1.535085514,0.001182875
4833415N18RIK,-2.906950468,4.75E-06
4833417C18RIK,1.836017142,3.51E-07
4833419F23RIK,3.192192363,0.00238821
4833424O15RIK,-0.832331521,0.002217422
4833424O15RIK,-0.659403098,0.011167662
4921508D12RIK,6.162242352,0.000267312
4921509C19RIK,5.09543846,0.007665478
4921509O07RIK,2.626010248,0.000102455
4921511I17RIK,3.47019366,0.000381354
4921513D23RIK,-0.910503373,0.000261239
4921513D23RIK,-0.94625936,0.03536728
4921513D23RIK,-0.804460563,0.028977967
4921513D23RIK,-0.574295502,0.016434591
4921513I03RIK,4.985539224,1.67E-05
4921525D07RIK,4.913198843,0.013021814
4921529L05RIK,2.340602439,0.047887508
4921531C22RIK,-1.294037867,0.0008051
4921531P14RIK,2.247465848,0.028157394
4921536K21RIK,2.967543793,5.04E-05
4921539E11RIK,2.039610739,0.02248644
4930401C15RIK,3.810251505,4.16E-05
4930402H24RIK,-0.613533386,0.000609108
4930402H24RIK,-1.002316664,1.85E-48
4930402H24RIK,-0.99859654,0.007425868
4930405D01RIK,5.036641016,0.010230003
4930405D11RIK,1.635369486,0.003152225
4930412B13RIK,4.406943891,0.000330907
4930412C18RIK,-1.045866672,0.00100104
4930412E21RIK,5.83997675,1.34E-07
4930415O20RIK,2.778059595,0.000811765
4930417H01RIK,2.117562244,0.000146451
4930425L21RIK,1.538901879,0.000868785
4930425O10RIK,4.58941453,0.000126006
4930429B21RIK,-1.312002605,1.26E-07
4930429H19RIK,-2.25521693,0.008032578
4930430E12RIK,8.78863135,4.91E-33
4930430F08RIK,-0.759296448,6.22E-05
4930430F08RIK,-1.470406377,1.93E-16
4930430F08RIK,-0.667663919,0.000168096
4930430F08RIK,-0.603569699,0.026684467
4930430F21RIK,5.3854887,0.003385036
4930431L04RIK,-1.206529042,6.04E-06
4930431P19RIK,-0.723687952,0.003089273
